nb,vertices,support
599,"[190162, 190624, 190824, 191040, 271009]",87
600,"[190162, 190624, 190824, 191040, 246171]",87
87,"[190166, 246171, 190624, 191040]",87
602,"[190162, 190624, 190824, 190166, 271009]",87
631,"[190162, 190624, 190166, 271009, 191040]",87
632,"[190162, 190624, 190166, 271009, 190824]",87
633,"[190162, 190624, 190166, 271009, 670716]",87
660,"[190162, 190624, 190166, 670716, 190629]",87
662,"[190162, 190624, 190166, 670716, 190824]",87
663,"[190162, 190624, 190166, 670716, 1059712]",87
77,"[190166, 246171, 190624, 271009, 1059712]",87
76,"[190166, 246171, 190624, 271009, 670716]",87
666,"[190162, 190624, 190166, 190824, 271009]",87
667,"[190162, 190624, 190166, 190824, 246171]",87
668,"[190162, 190624, 190166, 190824, 190629]",87
669,"[190162, 190624, 190166, 190824, 191040]",87
670,"[190162, 190624, 190166, 190824, 271009]",87
671,"[190162, 190624, 190166, 190824, 246171]",87
672,"[190162, 190624, 190166, 190824, 670716]",87
75,"[190166, 246171, 190624, 271009]",87
74,"[190166, 246171, 190624, 271009]",87
675,"[190162, 190624, 190166, 1059712, 271009]",87
676,"[190162, 190624, 190166, 1059712, 246171]",87
677,"[190162, 190624, 190166, 1059712, 190629]",87
678,"[190162, 190624, 190166, 1059712, 191040]",87
73,"[190166, 246171, 190624, 254723, 1059712]",87
680,"[190166, 670716]",87
681,"[190166, 670716, 1059712]",87
72,"[190166, 246171, 190624, 254723, 670716]",87
683,"[190166, 697396]",87
71,"[190166, 246171, 190624, 254723, 271009]",87
661,"[190162, 190624, 190166, 670716, 191040]",87
659,"[190162, 190624, 190166, 670716, 246171]",87
634,"[190162, 190624, 190166, 271009, 1059712]",87
658,"[190162, 190624, 190166, 670716, 271009]",87
635,"[190162, 190624, 190166, 246171]",87
636,"[190162, 190624, 190166, 246171]",87
637,"[190162, 190624, 190166, 246171, 271009]",87
638,"[190162, 190624, 190166, 246171, 190629]",87
